state,year,barrels,type
AK,2008,81218.75,Bottles and Cans
AK,2009,89762.16,Bottles and Cans
AK,2010,80889.21,Bottles and Cans
AK,2011,94781.57,Bottles and Cans
AK,2012,105416.32,Bottles and Cans
AK,2013,112008.59,Bottles and Cans
AK,2014,129181.74,Bottles and Cans
AK,2015,126309.22,Bottles and Cans
AK,2016,115823.75,Bottles and Cans
AK,2017,109652.22,Bottles and Cans
AK,2018,100038.94,Bottles and Cans
AK,2019,92235.04,Bottles and Cans
AL,2008,0,Bottles and Cans
AL,2009,0,Bottles and Cans
AL,2010,0,Bottles and Cans
AL,2011,658.96,Bottles and Cans
AL,2012,2485.79,Bottles and Cans
AL,2013,6634.43,Bottles and Cans
AL,2014,9521.26,Bottles and Cans
AL,2015,10543,Bottles and Cans
AL,2016,9977.46,Bottles and Cans
AL,2017,11797.8,Bottles and Cans
AL,2018,14241.33,Bottles and Cans
AL,2019,15337.81,Bottles and Cans
AR,2008,1206.73,Bottles and Cans
AR,2009,1269.26,Bottles and Cans
AR,2010,1445.82,Bottles and Cans
AR,2011,1382.06,Bottles and Cans
AR,2012,8,Bottles and Cans
AR,2013,8,Bottles and Cans
AR,2014,800.09,Bottles and Cans
AR,2015,872.11,Bottles and Cans
AR,2016,1737.1,Bottles and Cans
AR,2017,8723.15,Bottles and Cans
AR,2018,1668.5,Bottles and Cans
AR,2019,10033.89,Bottles and Cans
AZ,2008,6980.87,Bottles and Cans
AZ,2009,7383.27,Bottles and Cans
AZ,2010,10380.26,Bottles and Cans
AZ,2011,14057.56,Bottles and Cans
AZ,2012,18411.25,Bottles and Cans
AZ,2013,22318.65,Bottles and Cans
AZ,2014,29645.05,Bottles and Cans
AZ,2015,44032.85,Bottles and Cans
AZ,2016,59031.78,Bottles and Cans
AZ,2017,66483.94,Bottles and Cans
AZ,2018,56861.38,Bottles and Cans
AZ,2019,213919.27,Bottles and Cans
CA,2008,20082718.48,Bottles and Cans
CA,2009,19452836.45,Bottles and Cans
CA,2010,19095643.27,Bottles and Cans
CA,2011,18204514.85,Bottles and Cans
CA,2012,18940276.02,Bottles and Cans
CA,2013,17838853.36,Bottles and Cans
CA,2014,18052809.23,Bottles and Cans
CA,2015,17701780.59,Bottles and Cans
CA,2016,17569308.63,Bottles and Cans
CA,2017,16705423.6,Bottles and Cans
CA,2018,16122748.84,Bottles and Cans
CA,2019,15495820.4,Bottles and Cans
CO,2008,24182900.4,Bottles and Cans
CO,2009,21095113.55,Bottles and Cans
CO,2010,18742266.67,Bottles and Cans
CO,2011,18820319.55,Bottles and Cans
CO,2012,19267902.29,Bottles and Cans
CO,2013,18549122.13,Bottles and Cans
CO,2014,18035909.8,Bottles and Cans
CO,2015,17755216.77,Bottles and Cans
CO,2016,18105206.85,Bottles and Cans
CO,2017,17964522.31,Bottles and Cans
CO,2018,16457400.82,Bottles and Cans
CO,2019,17351292.18,Bottles and Cans
CT,2008,1985.86,Bottles and Cans
CT,2009,3152.59,Bottles and Cans
CT,2010,4822.66,Bottles and Cans
CT,2011,5578.56,Bottles and Cans
