state,year,barrels,type
AK,2008,50920.35,Kegs and Barrels
AK,2009,52278.05,Kegs and Barrels
AK,2010,54395.32,Kegs and Barrels
AK,2011,58519.66,Kegs and Barrels
AK,2012,65679.13,Kegs and Barrels
AK,2013,68867.58,Kegs and Barrels
AK,2014,73823.62,Kegs and Barrels
AK,2015,74606.28,Kegs and Barrels
AK,2016,69473.78,Kegs and Barrels
AK,2017,66217.06,Kegs and Barrels
AK,2018,62922.15,Kegs and Barrels
AK,2019,55454.19,Kegs and Barrels
AL,2008,157.33,Kegs and Barrels
AL,2009,459.88,Kegs and Barrels
AL,2010,547.69,Kegs and Barrels
AL,2011,1810.06,Kegs and Barrels
AL,2012,6453.45,Kegs and Barrels
AL,2013,11747.74,Kegs and Barrels
AL,2014,13749.96,Kegs and Barrels
AL,2015,11465.23,Kegs and Barrels
AL,2016,11846.23,Kegs and Barrels
AL,2017,8771.22,Kegs and Barrels
AL,2018,9873.67,Kegs and Barrels
AL,2019,9014.92,Kegs and Barrels
AR,2008,882.83,Kegs and Barrels
AR,2009,1081.95,Kegs and Barrels
AR,2010,1318.17,Kegs and Barrels
AR,2011,1144.17,Kegs and Barrels
AR,2012,125.94,Kegs and Barrels
AR,2013,1078.21,Kegs and Barrels
AR,2014,2787.48,Kegs and Barrels
AR,2015,6965.83,Kegs and Barrels
AR,2016,9058.3,Kegs and Barrels
AR,2017,4824.97,Kegs and Barrels
AR,2018,1623.57,Kegs and Barrels
AR,2019,3959.08,Kegs and Barrels
AZ,2008,18635.98,Kegs and Barrels
AZ,2009,18303.18,Kegs and Barrels
AZ,2010,24410.52,Kegs and Barrels
AZ,2011,32848.92,Kegs and Barrels
AZ,2012,44792.72,Kegs and Barrels
AZ,2013,59074.04,Kegs and Barrels
AZ,2014,80214.06,Kegs and Barrels
AZ,2015,74997.94,Kegs and Barrels
AZ,2016,71863.7,Kegs and Barrels
AZ,2017,70469.77,Kegs and Barrels
AZ,2018,71892.05,Kegs and Barrels
AZ,2019,88478.11,Kegs and Barrels
CA,2008,2005517.01,Kegs and Barrels
CA,2009,2070667.22,Kegs and Barrels
CA,2010,2198550.1,Kegs and Barrels
CA,2011,2166028.35,Kegs and Barrels
CA,2012,2272768.96,Kegs and Barrels
CA,2013,2388676.84,Kegs and Barrels
CA,2014,2330092.84,Kegs and Barrels
CA,2015,2220498.84,Kegs and Barrels
CA,2016,2165833.96,Kegs and Barrels
CA,2017,2178070.92,Kegs and Barrels
CA,2018,2054263.98,Kegs and Barrels
CA,2019,1977084,Kegs and Barrels
CO,2008,2564428.26,Kegs and Barrels
CO,2009,2285814.82,Kegs and Barrels
CO,2010,2279812.02,Kegs and Barrels
CO,2011,2277201.65,Kegs and Barrels
CO,2012,2290799.82,Kegs and Barrels
CO,2013,2177094.68,Kegs and Barrels
CO,2014,2207491.04,Kegs and Barrels
CO,2015,2083226.02,Kegs and Barrels
CO,2016,1898362.52,Kegs and Barrels
CO,2017,1560670.89,Kegs and Barrels
CO,2018,1598523.94,Kegs and Barrels
CO,2019,1570358.69,Kegs and Barrels
CT,2008,3851.71,Kegs and Barrels
CT,2009,5471.25,Kegs and Barrels
CT,2010,6823.23,Kegs and Barrels
CT,2011,8033.77,Kegs and Barrels
CT,2012,6849.69,Kegs and Barrels
CT,2013,20486.04,Kegs and Barrels
CT,2014,33903.03,Kegs and Barrels
CT,2015,38194.71,Kegs and Barrels
CT,2016,47595.2,Kegs and Barrels
CT,2017,93599.78,Kegs and Barrels
CT,2018,50128.49,Kegs and Barrels
CT,2019,46190.93,Kegs and Barrels
DC,2008,0,Kegs and Barrels
DC,2009,0,Kegs and Barrels
DC,2010,0,Kegs and Barrels
DC,2011,1366.16,Kegs and Barrels
DC,2012,4257.53,Kegs and Barrels
DC,2013,5934.43,Kegs and Barrels
DC,2014,8335.8,Kegs and Barrels
DC,2015,8925.18,Kegs and Barrels
DC,2016,9664.33,Kegs and Barrels
DC,2017,9813.66,Kegs and Barrels
DC,2018,8975.52,Kegs and Barrels
DC,2019,5741.02,Kegs and Barrels
DE,2008,25709.65,Kegs and Barrels
DE,2009,37560.36,Kegs and Barrels
DE,2010,48117.54,Kegs and Barrels
DE,2011,57886.92,Kegs and Barrels
DE,2012,65524.44,Kegs and Barrels
DE,2013,75629.27,Kegs and Barrels
DE,2014,82037.96,Kegs and Barrels
DE,2015,83489.86,Kegs and Barrels
DE,2016,78225.11,Kegs and Barrels
DE,2017,74403.02,Kegs and Barrels
DE,2018,68113.87,Kegs and Barrels
DE,2019,60444.29,Kegs and Barrels
FL,2008,1188745.72,Kegs and Barrels
FL,2009,1297356.04,Kegs and Barrels
FL,2010,1247064.73,Kegs and Barrels
FL,2011,1287687.46,Kegs and Barrels
FL,2012,1289450.36,Kegs and Barrels
FL,2013,1260567.42,Kegs and Barrels
FL,2014,1242022.65,Kegs and Barrels
FL,2015,1245516.38,Kegs and Barrels
FL,2016,1186318.43,Kegs and Barrels
FL,2017,1173282.12,Kegs and Barrels
FL,2018,1211791.38,Kegs and Barrels
FL,2019,1177400.04,Kegs and Barrels
GA,2008,412159.15,Kegs and Barrels
GA,2009,578799.07,Kegs and Barrels
GA,2010,518567.58,Kegs and Barrels
GA,2011,482677.65,Kegs and Barrels
GA,2012,480930.15,Kegs and Barrels
GA,2013,545302.04,Kegs and Barrels
GA,2014,489713.84,Kegs and Barrels
GA,2015,463799.45,Kegs and Barrels
GA,2016,533283.65,Kegs and Barrels
GA,2017,499930.03,Kegs and Barrels
GA,2018,460632.48,Kegs and Barrels
GA,2019,499525.74,Kegs and Barrels
HI,2008,13159.64,Kegs and Barrels
HI,2009,13292.91,Kegs and Barrels
HI,2010,15488.55,Kegs and Barrels
HI,2011,19606.37,Kegs and Barrels
HI,2012,19391.33,Kegs and Barrels
HI,2013,18107.58,Kegs and Barrels
HI,2014,21582.44,Kegs and Barrels
HI,2015,25424.3,Kegs and Barrels
HI,2016,28641.98,Kegs and Barrels
HI,2017,32067.39,Kegs and Barrels
HI,2018,34821.42,Kegs and Barrels
HI,2019,35111.73,Kegs and Barrels
IA,2008,2113.46,Kegs and Barrels
IA,2009,2634.37,Kegs and Barrels
IA,2010,3780.36,Kegs and Barrels
IA,2011,6320.58,Kegs and Barrels
IA,2012,8572.43,Kegs and Barrels
IA,2013,13243.72,Kegs and Barrels
IA,2014,21448.89,Kegs and Barrels
IA,2015,15321.13,Kegs and Barrels
IA,2016,7700.13,Kegs and Barrels
IA,2017,12338,Kegs and Barrels
